clinical_drug_form	ingredient
DRON:00020789	CHEBI:2676
DRON:00020790	CHEBI:2676
DRON:00020790	CHEBI:9321
DRON:00020791	CHEBI:2676
DRON:00020792	CHEBI:2676
DRON:00020792	CHEBI:77032
DRON:00020793	CHEBI:2676
DRON:00020793	CHEBI:47381
DRON:00020794	CHEBI:2676
DRON:00020794	CHEBI:47381
DRON:00020795	CHEBI:2676
DRON:00020795	CHEBI:5098
DRON:00020796	CHEBI:2676
DRON:00020796	CHEBI:5098
DRON:00020797	CHEBI:2676
DRON:00020797	CHEBI:7660
DRON:00020798	CHEBI:2676
DRON:00020798	CHEBI:7660
DRON:00020799	CHEBI:2676
DRON:00020799	CHEBI:8249
DRON:00020800	CHEBI:2676
DRON:00020800	CHEBI:9321
DRON:00020801	CHEBI:2676
DRON:00020801	CHEBI:9342
DRON:00020802	CHEBI:2679
DRON:00020803	CHEBI:2682
DRON:00020804	CHEBI:28971
DRON:00020804	CHEBI:77032
DRON:00020805	CHEBI:28971
DRON:00020805	CHEBI:77032
DRON:00020806	CHEBI:16163
DRON:00020806	CHEBI:28971
DRON:00020807	CHEBI:16163
DRON:00020807	CHEBI:28971
DRON:00020808	CHEBI:28971
DRON:00020808	CHEBI:8426
DRON:00020809	CHEBI:28971
DRON:00020809	CHEBI:8426
DRON:00020810	CHEBI:28971
DRON:00020811	CHEBI:28971
DRON:00020812	CHEBI:28971
DRON:00020812	CHEBI:49566
DRON:00020813	CHEBI:28971
DRON:00020813	CHEBI:49566
DRON:00020814	CHEBI:28971
DRON:00020814	CHEBI:47381
DRON:00020815	CHEBI:28971
DRON:00020815	CHEBI:4511
DRON:00020816	CHEBI:28971
DRON:00020816	CHEBI:5098
DRON:00020817	CHEBI:40050
DRON:00020818	CHEBI:40050
DRON:00020819	DRON:00010223
DRON:00020820	DRON:00012598
DRON:00020821	CHEBI:61203
DRON:00020822	CHEBI:61203
DRON:00020823	CHEBI:47943
DRON:00020824	CHEBI:8069
DRON:00020824	DRON:00014797
DRON:00020825	CHEBI:59033
DRON:00020825	DRON:00014797
DRON:00020826	CHEBI:59033
DRON:00020826	DRON:00014797
DRON:00020827	CHEBI:10082
DRON:00020827	CHEBI:84115
DRON:00020828	CHEBI:84115
DRON:00020829	CHEBI:31225
DRON:00020830	CHEBI:38010
DRON:00020831	CHEBI:38010
DRON:00020832	CHEBI:48538
DRON:00020833	CHEBI:31233
DRON:00020834	DRON:00014450
DRON:00020835	DRON:00016544
DRON:00020835	DRON:00018617
DRON:00020836	CHEBI:22652
DRON:00020837	CHEBI:22652
DRON:00020838	CHEBI:22652
DRON:00020839	CHEBI:79928
DRON:00020840	CHEBI:79928
DRON:00020841	CHEBI:79928
DRON:00020842	CHEBI:15365
DRON:00020843	CHEBI:15365
DRON:00020844	CHEBI:15365
DRON:00020845	CHEBI:15365
DRON:00020845	CHEBI:16714
DRON:00020846	CHEBI:15365
DRON:00020846	CHEBI:4636
DRON:00020847	CHEBI:15365
DRON:00020847	CHEBI:46195
DRON:00020848	CHEBI:102524
DRON:00020848	CHEBI:15365
DRON:00020849	CHEBI:15365
DRON:00020849	CHEBI:27732
DRON:00020850	CHEBI:15365
DRON:00020850	CHEBI:3311
DRON:00020851	CHEBI:15365
DRON:00020851	CHEBI:3994
DRON:00020852	CHEBI:15365
DRON:00020852	DRON:00018285
DRON:00020853	CHEBI:15365
DRON:00020853	CHEBI:8069
DRON:00020854	CHEBI:15365
DRON:00020854	CHEBI:8069
DRON:00020855	CHEBI:2896
DRON:00020855	CHEBI:51209
DRON:00020856	CHEBI:2896
DRON:00020856	CHEBI:51209
DRON:00020857	CHEBI:2896
DRON:00020858	CHEBI:2896
DRON:00020858	CHEBI:59590
DRON:00020859	CHEBI:2904
DRON:00020859	CHEBI:3654
DRON:00020860	CHEBI:2904
DRON:00020861	CHEBI:2904
DRON:00020862	CHEBI:2904
DRON:00020862	CHEBI:7565
DRON:00020863	CHEBI:575568
DRON:00020864	CHEBI:16684
DRON:00020865	CHEBI:16684
DRON:00020866	CHEBI:16684
DRON:00020866	CHEBI:8378
DRON:00020867	CHEBI:17309
DRON:00020867	CHEBI:82365
DRON:00020868	CHEBI:2922
DRON:00020869	CHEBI:2946
DRON:00020869	CHEBI:51209
DRON:00020870	CHEBI:2946
DRON:00020871	CHEBI:2948
DRON:00020872	CHEBI:2955
DRON:00020873	CHEBI:2955
DRON:00020874	CHEBI:2955
DRON:00020875	CHEBI:71416
DRON:00020875	CHEBI:9331
DRON:00020876	CHEBI:102484
DRON:00020876	CHEBI:71416
DRON:00020877	CHEBI:2968
DRON:00020878	CHEBI:2968
DRON:00020879	CHEBI:28669
DRON:00020880	CHEBI:28669
DRON:00020881	CHEBI:28669
DRON:00020882	CHEBI:2972
DRON:00020883	CHEBI:2972
DRON:00020884	CHEBI:553827
DRON:00020885	CHEBI:37936
DRON:00020886	CHEBI:37936
DRON:00020886	DRON:00016702
DRON:00020887	CHEBI:31252
DRON:00020887	DRON:00017718
DRON:00020888	DRON:00018816
DRON:00020889	CHEBI:3001
DRON:00020890	CHEBI:3001
DRON:00020891	DRON:00017499
DRON:00020892	DRON:00017499
DRON:00020893	DRON:00016834
DRON:00020893	DRON:00017663
DRON:00020894	CHEBI:6761
DRON:00020894	DRON:00014487
DRON:00020895	CHEBI:3011
DRON:00020895	CHEBI:5778
DRON:00020896	CHEBI:3011
DRON:00020897	CHEBI:2668
DRON:00020897	CHEBI:3011
DRON:00020898	CHEBI:3013
DRON:00020898	DRON:00016707
DRON:00020899	CHEBI:3013
DRON:00020900	CHEBI:3013
DRON:00020900	CHEBI:32588
DRON:00020901	DRON:00010275
DRON:00020902	CHEBI:135340
DRON:00020903	CHEBI:135340
DRON:00020904	DRON:00014492
DRON:00020905	CHEBI:15765
DRON:00020905	CHEBI:64187
DRON:00020906	CHEBI:15765
DRON:00020906	CHEBI:64187
DRON:00020907	CHEBI:15765
DRON:00020907	CHEBI:64187
DRON:00020908	CHEBI:31263
DRON:00020909	CHEBI:135611
DRON:00020910	CHEBI:135611
DRON:00020911	CHEBI:34559
DRON:00020912	CHEBI:3023
DRON:00020913	CHEBI:116735
DRON:00020914	CHEBI:116735
DRON:00020915	CHEBI:116735
DRON:00020916	CHEBI:116735
DRON:00020917	CHEBI:116735
DRON:00020918	CHEBI:116735
DRON:00020919	CHEBI:116735
DRON:00020919	CHEBI:31225
DRON:00020920	CHEBI:116735
DRON:00020920	CHEBI:17698
DRON:00020921	CHEBI:116735
DRON:00020921	CHEBI:15882
DRON:00020922	CHEBI:116735
DRON:00020922	CHEBI:8093
DRON:00020923	CHEBI:116735
DRON:00020923	CHEBI:75211
DRON:00020924	CHEBI:116735
DRON:00020924	DRON:00016022
DRON:00020925	CHEBI:3032
DRON:00020926	CHEBI:3032
DRON:00020927	CHEBI:3044
DRON:00020928	CHEBI:3047
DRON:00020929	CHEBI:3048
DRON:00020930	CHEBI:3048
DRON:00020931	CHEBI:3048
DRON:00020932	CHEBI:94563
DRON:00020933	CHEBI:94563
DRON:00020934	CHEBI:94563
DRON:00020935	CHEBI:94563
DRON:00020935	DRON:00016684
DRON:00020936	CHEBI:3061
DRON:00020937	CHEBI:17579
DRON:00020938	CHEBI:17579
DRON:00020939	CHEBI:17579
DRON:00020940	CHEBI:17579
DRON:00020941	CHEBI:35677
