curie	ndc	branded_drug
DRON:00092295	60346035544	DRON:00069425
DRON:00092296	60491050330	DRON:00069425
DRON:00092297	60491050334	DRON:00069425
DRON:00092298	60491050360	DRON:00069425
DRON:00092299	60491050390	DRON:00069425
DRON:00092300	62584044000	DRON:00069425
DRON:00092301	62584044050	DRON:00069425
DRON:00092302	62904096331	DRON:00069425
DRON:00092303	62904096358	DRON:00069425
DRON:00092304	00006096428	DRON:00069426
DRON:00092305	00006096431	DRON:00069426
DRON:00092306	00006096458	DRON:00069426
DRON:00092307	00006096462	DRON:00069426
DRON:00092308	00006096470	DRON:00069426
DRON:00092309	00006096472	DRON:00069426
DRON:00092310	00006096482	DRON:00069426
DRON:00092311	00006096487	DRON:00069426
DRON:00092312	00006096494	DRON:00069426
DRON:00092313	54569043100	DRON:00069426
DRON:00092314	54569043104	DRON:00069426
DRON:00092315	54868030401	DRON:00069426
DRON:00092316	54868030402	DRON:00069426
DRON:00092317	55175291803	DRON:00069426
DRON:00092318	55289014604	DRON:00069426
DRON:00092319	55289014697	DRON:00069426
DRON:00092320	58016071500	DRON:00069426
DRON:00092321	58016071504	DRON:00069426
DRON:00092322	58016071512	DRON:00069426
DRON:00092323	58016071515	DRON:00069426
DRON:00092324	58016071530	DRON:00069426
DRON:00092325	60346015225	DRON:00069426
DRON:00092326	60346015244	DRON:00069426
DRON:00092327	60346015260	DRON:00069426
DRON:00092328	60491050430	DRON:00069426
DRON:00092329	60491050434	DRON:00069426
DRON:00092330	62904096458	DRON:00069426
DRON:00092331	00002314401	DRON:00069427
DRON:00092332	00002314403	DRON:00069427
DRON:00092333	00002314433	DRON:00069427
DRON:00092334	00002314460	DRON:00069427
DRON:00092335	00002314481	DRON:00069427
DRON:00092336	00002314482	DRON:00069427
DRON:00092337	00247049802	DRON:00069427
DRON:00092338	00247049803	DRON:00069427
DRON:00092339	00247049804	DRON:00069427
DRON:00092340	00247049806	DRON:00069427
DRON:00092341	00247049808	DRON:00069427
DRON:00092342	00247049810	DRON:00069427
DRON:00092343	00247049814	DRON:00069427
DRON:00092344	00247049815	DRON:00069427
DRON:00092345	00247049820	DRON:00069427
DRON:00092346	00247049828	DRON:00069427
DRON:00092347	00247049830	DRON:00069427
DRON:00092348	00247049860	DRON:00069427
DRON:00092349	51129314401	DRON:00069427
DRON:00092350	52959036630	DRON:00069427
DRON:00092351	52959036650	DRON:00069427
DRON:00092352	52959036660	DRON:00069427
DRON:00092353	53002104103	DRON:00069427
DRON:00092354	53002104106	DRON:00069427
DRON:00092355	53978207903	DRON:00069427
DRON:00092356	53978207908	DRON:00069427
DRON:00092357	54569260501	DRON:00069427
DRON:00092358	54868113000	DRON:00069427
DRON:00092359	54868113001	DRON:00069427
DRON:00092360	54868113002	DRON:00069427
DRON:00092361	55154180307	DRON:00069427
DRON:00092362	55289063720	DRON:00069427
DRON:00092363	61392035730	DRON:00069427
DRON:00092364	61392035751	DRON:00069427
DRON:00092365	61392035754	DRON:00069427
DRON:00092366	61392035756	DRON:00069427
DRON:00092367	61392035760	DRON:00069427
DRON:00092368	61392035790	DRON:00069427
DRON:00092369	61392035791	DRON:00069427
DRON:00092370	62301004747	DRON:00069427
DRON:00092371	65726014415	DRON:00069427
DRON:00092372	65726014420	DRON:00069427
DRON:00092373	65726014435	DRON:00069427
DRON:00092374	65726014490	DRON:00069427
DRON:00092375	65726014496	DRON:00069427
DRON:00092376	67651004206	DRON:00069427
DRON:00092377	00002314530	DRON:00069428
DRON:00092378	00247094420	DRON:00069428
DRON:00092379	00247094430	DRON:00069428
DRON:00092380	00247094460	DRON:00069428
DRON:00092381	51129314501	DRON:00069428
DRON:00092382	54868113101	DRON:00069428
DRON:00092383	61392035830	DRON:00069428
DRON:00092384	61392035851	DRON:00069428
DRON:00092385	61392035854	DRON:00069428
DRON:00092386	61392035856	DRON:00069428
DRON:00092387	61392035860	DRON:00069428
DRON:00092388	61392035890	DRON:00069428
DRON:00092389	61392035891	DRON:00069428
DRON:00092390	65726014510	DRON:00069428
DRON:00092391	67651004303	DRON:00069428
DRON:00092392	00025146131	DRON:00069429
DRON:00092393	00025146134	DRON:00069429
DRON:00092394	00025146160	DRON:00069429
DRON:00092395	00247041640	DRON:00069429
DRON:00092396	00247041660	DRON:00069429
DRON:00092397	24584104105	DRON:00069429
DRON:00092398	51227614900	DRON:00069429
DRON:00092399	51227614901	DRON:00069429
DRON:00092400	51227614903	DRON:00069429
DRON:00092401	51227614904	DRON:00069429
DRON:00092402	51227614906	DRON:00069429
DRON:00092403	52959035401	DRON:00069429
DRON:00092404	52959035412	DRON:00069429
DRON:00092405	52959035430	DRON:00069429
DRON:00092406	52959035440	DRON:00069429
DRON:00092407	55154361300	DRON:00069429
DRON:00092408	55154361307	DRON:00069429
DRON:00092409	55289069802	DRON:00069429
DRON:00092410	55289069804	DRON:00069429
DRON:00092411	55289069808	DRON:00069429
DRON:00092412	55289069817	DRON:00069429
DRON:00092413	55289069830	DRON:00069429
DRON:00092414	58016019000	DRON:00069429
